lon,lat
-76.995797,-12.711762
-77.010284,-12.687412
-77.025581,-12.663836
-77.042047,-12.641472
-77.058091,-12.618697
-77.07234,-12.594095
-77.087991,-12.570999
-77.106926,-12.551654
-77.127786,-12.535663
-77.149857,-12.522588
-77.172639,-12.510997
-77.1954,-12.499257
-77.21223,-12.478914
-77.224679,-12.452067
-77.237563,-12.425282
-77.254863,-12.40428
-77.276203,-12.389486
-77.298986,-12.376855
-77.321028,-12.362875
-77.341983,-12.347197
-77.36293,-12.331857
-77.387468,-12.321747
-77.414022,-12.315252
-77.434064,-12.302128
-77.441121,-12.274364
-77.452122,-12.248132
-77.472552,-12.230235
-77.497477,-12.218748
-77.523509,-12.212621
-77.547658,-12.205391
-77.566158,-12.187921
-77.572354,-12.158207
-77.573686,-12.126478
-77.583877,-12.103304
-77.606397,-12.090934
-77.631681,-12.080611
-77.654257,-12.067436
-77.675567,-12.05336
-77.697596,-12.040987
-77.720777,-12.030599
-77.74365,-12.019329
-77.764361,-12.003137
